issue_id,priority,severity,severity_score,source,dimension,rule_id,scope,table,column,n_records,pct_affected,reason,recommended_action,record_keys,evidence,detected_at
ISS-A0001,1,high,52.21,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 138.45 (100.0000% percentile, 425.3x the batch median). Largest deviations: V27 (observed 81.91 vs expected 46.31), log_amount (observed 4.24 vs expected 30.96), V28 (observed -50.36 vs expected -25.17).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['9964'],"{'score': 138.4467010498047, 'percentile': 1.0, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 1267.523681640625, 'share_of_error': 0.2953329033423853, 'observed': 81.91094970703125, 'expected': 46.308650970458984}, {'feature': 'log_amount', 'squared_error': 714.4008178710938, 'share_of_error': 0.16645532604089414, 'observed': 4.236387729644775, 'expected': 30.964664459228516}, {'feature': 'V28', 'squared_error': 634.513916015625, 'share_of_error': 0.1478416851237747, 'observed': -50.36048126220703, 'expected': -25.170921325683594}]}",2026-09-18T17:23:23+00:00
ISS-A0002,2,high,51.72,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 37.265 (99.9950% percentile, 114.5x the batch median). Largest deviations: V27 (observed -18.21 vs expected 0.89), V8 (observed -17.49 vs expected -1.71), V21 (observed -9.08 vs expected 6.60).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['18332'],"{'score': 37.264713287353516, 'percentile': 0.99995, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 364.9946594238281, 'share_of_error': 0.3159563129139748, 'observed': -18.212812423706055, 'expected': 0.892020583152771}, {'feature': 'V8', 'squared_error': 249.07412719726562, 'share_of_error': 0.21561012151723782, 'observed': -17.490707397460938, 'expected': -1.7086248397827148}, {'feature': 'V21', 'squared_error': 246.0067596435547, 'share_of_error': 0.21295486583718937, 'observed': -9.080196380615234, 'expected': 6.604405879974365}]}",2026-09-18T17:23:23+00:00
ISS-A0003,3,high,51.23,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 36.293 (99.9900% percentile, 111.5x the batch median). Largest deviations: V27 (observed -16.83 vs expected 1.44), V8 (observed -17.80 vs expected -1.93), V21 (observed -9.25 vs expected 6.45).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['17846'],"{'score': 36.29288864135742, 'percentile': 0.9999, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 333.6200256347656, 'share_of_error': 0.29653017956830985, 'observed': -16.828344345092773, 'expected': 1.4369248151779175}, {'feature': 'V8', 'squared_error': 251.9180145263672, 'share_of_error': 0.2239113013131168, 'observed': -17.800107955932617, 'expected': -1.9281827211380005}, {'feature': 'V21', 'squared_error': 246.52931213378906, 'share_of_error': 0.21912168208965715, 'observed': -9.254262924194336, 'expected': 6.4469895362854}]}",2026-09-18T17:23:23+00:00
ISS-A0004,4,high,50.74,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 20.615 (99.9850% percentile, 63.3x the batch median). Largest deviations: V27 (observed -11.52 vs expected 1.63), V28 (observed -10.66 vs expected 0.28), V21 (observed -4.87 vs expected 5.54).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['7137'],"{'score': 20.614824295043945, 'percentile': 0.99985, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 173.0406951904297, 'share_of_error': 0.27077397257981944, 'observed': -11.521522521972656, 'expected': 1.632970929145813}, {'feature': 'V28', 'squared_error': 119.66193389892578, 'share_of_error': 0.187246919996123, 'observed': -10.659065246582031, 'expected': 0.2799445688724518}, {'feature': 'V21', 'squared_error': 108.26620483398438, 'share_of_error': 0.16941489021860884, 'observed': -4.869144439697266, 'expected': 5.5359601974487305}]}",2026-09-18T17:23:23+00:00
ISS-A0005,5,high,50.25,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 20.483 (99.9800% percentile, 62.9x the batch median). Largest deviations: V27 (observed -11.46 vs expected 1.50), V28 (observed -10.66 vs expected 0.20), V21 (observed -4.89 vs expected 5.51).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['7050'],"{'score': 20.48284149169922, 'percentile': 0.9998, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 167.93191528320312, 'share_of_error': 0.2644730077061774, 'observed': -11.45758056640625, 'expected': 1.50127375125885}, {'feature': 'V28', 'squared_error': 117.87358856201172, 'share_of_error': 0.18563703298174572, 'observed': -10.65601921081543, 'expected': 0.2009410709142685}, {'feature': 'V21', 'squared_error': 108.13908386230469, 'share_of_error': 0.17030633344128174, 'observed': -4.8896260261535645, 'expected': 5.509368896484375}]}",2026-09-18T17:23:23+00:00
ISS-A0006,6,medium,49.76,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 20.163 (99.9750% percentile, 61.9x the batch median). Largest deviations: V27 (observed -11.14 vs expected 0.73), V8 (observed -13.58 vs expected -2.81), V21 (observed -4.85 vs expected 5.53).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['6955'],"{'score': 20.163122177124023, 'percentile': 0.99975, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V27', 'squared_error': 140.72117614746094, 'share_of_error': 0.22513343995593565, 'observed': -11.135940551757812, 'expected': 0.7266547679901123}, {'feature': 'V8', 'squared_error': 115.92677307128906, 'share_of_error': 0.18546599679625647, 'observed': -13.581914901733398, 'expected': -2.8149852752685547}, {'feature': 'V21', 'squared_error': 107.80953216552734, 'share_of_error': 0.1724795904990963, 'observed': -4.850329399108887, 'expected': 5.53280782699585}]}",2026-09-18T17:23:23+00:00
ISS-A0007,7,medium,49.27,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 11.631 (99.9700% percentile, 35.7x the batch median). Largest deviations: V23 (observed -17.04 vs expected -0.66), V19 (observed -2.75 vs expected 1.20), V22 (observed -4.69 vs expected -0.95).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['593'],"{'score': 11.631281852722168, 'percentile': 0.9997, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V23', 'squared_error': 268.3885498046875, 'share_of_error': 0.7443457397920945, 'observed': -17.042251586914062, 'expected': -0.6596841216087341}, {'feature': 'V19', 'squared_error': 15.626213073730469, 'share_of_error': 0.04333756093163875, 'observed': -2.7529382705688477, 'expected': 1.2000622749328613}, {'feature': 'V22', 'squared_error': 14.003665924072266, 'share_of_error': 0.038837607191664424, 'observed': -4.691183090209961, 'expected': -0.9490358829498291}]}",2026-09-18T17:23:23+00:00
ISS-A0008,8,medium,48.78,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 10.292 (99.9650% percentile, 31.6x the batch median). Largest deviations: log_amount (observed 3.68 vs expected 14.98), V20 (observed 3.35 vs expected -1.92), V28 (observed -8.86 vs expected -4.23).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['19442'],"{'score': 10.292253494262695, 'percentile': 0.99965, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'log_amount', 'squared_error': 127.7960205078125, 'share_of_error': 0.4005393417190539, 'observed': 3.678208112716675, 'expected': 14.982898712158203}, {'feature': 'V20', 'squared_error': 27.77714729309082, 'share_of_error': 0.08705936419145106, 'observed': 3.3519535064697266, 'expected': -1.9184491634368896}, {'feature': 'V28', 'squared_error': 21.49288558959961, 'share_of_error': 0.06736317931883405, 'observed': -8.86137580871582, 'expected': -4.2253336906433105}]}",2026-09-18T17:23:23+00:00
ISS-A0009,9,medium,48.29,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 10.241 (99.9600% percentile, 31.5x the batch median). Largest deviations: V17 (observed -9.65 vs expected -0.15), V16 (observed -6.64 vs expected 0.56), V18 (observed -5.96 vs expected 0.92).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['3568'],"{'score': 10.240659713745117, 'percentile': 0.9996, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V17', 'squared_error': 90.1136474609375, 'share_of_error': 0.283857896210423, 'observed': -9.645947456359863, 'expected': -0.15312638878822327}, {'feature': 'V16', 'squared_error': 51.93252182006836, 'share_of_error': 0.1635873899692788, 'observed': -6.644717693328857, 'expected': 0.5617045164108276}, {'feature': 'V18', 'squared_error': 47.3961296081543, 'share_of_error': 0.14929775919811883, 'observed': -5.961472034454346, 'expected': 0.9230127930641174}]}",2026-09-18T17:23:23+00:00
ISS-A0010,10,medium,47.8,anomaly_model,anomaly,anomaly.autoencoder,record,creditcard_transactions,,1,5e-05,"Anomaly score 9.2255 (99.9550% percentile, 28.3x the batch median). Largest deviations: V23 (observed -17.03 vs expected -2.36), V28 (observed 0.52 vs expected -2.47), V19 (observed -0.33 vs expected 2.62).",Route to manual review. The record is unlike the transactions the model was trained on; confirm it before it is processed automatically.,['13676'],"{'score': 9.225459098815918, 'percentile': 0.99955, 'threshold': 2.633307743072426, 'top_features': [{'feature': 'V23', 'squared_error': 215.13040161132812, 'share_of_error': 0.752232507615476, 'observed': -17.02886390686035, 'expected': -2.3615403175354004}, {'feature': 'V28', 'squared_error': 8.969779968261719, 'share_of_error': 0.031364047237149216, 'observed': 0.5216369032859802, 'expected': -2.4733221530914307}, {'feature': 'V19', 'squared_error': 8.71105670928955, 'share_of_error': 0.030459386415538806, 'observed': -0.3281494379043579, 'expected': 2.623300313949585}]}",2026-09-18T17:23:23+00:00
