table,rule_id,dimension,flagged,true_positives,precision,is_statistical
materials,expect_column_values_to_match_regex.description,validity,50,50,1.0,False
po_lines,consistency.material_id_exists_in_material_master,consistency,359,359,1.0,False
po_lines,consistency.net_value_matches_quantity_times_price,consistency,1669,1669,1.0,False
po_lines,consistency.receipt_not_greater_than_order,consistency,359,359,1.0,False
po_lines,consistency.uom_matches_material_master,consistency,715,715,1.0,False
po_lines,expect_column_values_to_be_between.quantity,validity,359,359,1.0,False
po_lines,expect_column_values_to_be_between.unit_price,validity,538,538,1.0,False
po_lines,expect_column_values_to_be_of_type.quantity,validity,448,448,1.0,False
po_lines,expect_column_values_to_not_be_null.unit_price,completeness,1076,1076,1.0,False
purchase_orders,consistency.delivery_date_after_order_date,consistency,181,181,1.0,False
purchase_orders,expect_column_dates_to_be_between.order_date,validity,40,40,1.0,False
purchase_orders,expect_column_values_to_be_unique.po_id,uniqueness,200,200,1.0,False
purchase_orders,expect_primary_key_to_be_unique,uniqueness,200,200,1.0,False
purchase_orders,expect_table_rows_to_be_unique,uniqueness,98,98,1.0,False
vendors,expect_column_values_to_be_in_set.payment_terms,validity,6,6,1.0,False
vendors,expect_column_values_to_not_be_null.tax_id,completeness,9,9,1.0,False
po_lines,expect_column_values_to_be_plausible.net_value,plausibility,2,0,0.0,True
purchase_orders,expect_column_values_to_be_plausible.total_net_value,plausibility,36,2,0.0556,True
po_lines,expect_column_values_to_be_plausible.quantity,plausibility,905,96,0.1061,True
po_lines,expect_column_values_to_be_plausible.unit_price,plausibility,13,2,0.1538,True
materials,expect_column_values_to_be_plausible.standard_price,plausibility,9,8,0.8889,True
